zeta1,zeta2,max_excess,stable
-0.1,-0.04216965,1.23704e-06,1
-0.1,-0.021084825,1.23939e-06,1
-0.1,0,0.100765,1
-0.1,0.021084825,1.23939e-06,1
-0.1,0.04216965,1.23704e-06,1
-0.05,-0.04216965,1.23704e-06,1
-0.05,-0.021084825,1.23939e-06,1
-0.05,0,0.100765,1
-0.05,0.021084825,1.23939e-06,1
-0.05,0.04216965,1.23704e-06,1
0,-0.04216965,1.23704e-06,1
0,-0.021084825,1.23939e-06,1
0,0,0.100765,1
0,0.021084825,1.23939e-06,1
0,0.04216965,1.23704e-06,1
0.05,-0.04216965,1.23704e-06,1
0.05,-0.021084825,1.23939e-06,1
0.05,0,0.100765,1
0.05,0.021084825,1.23939e-06,1
0.05,0.04216965,1.23704e-06,1
0.1,-0.04216965,1.23704e-06,1
0.1,-0.021084825,1.23939e-06,1
0.1,0,0.100765,1
0.1,0.021084825,1.23939e-06,1
0.1,0.04216965,1.23704e-06,1
