zeta2,zeta3,max_excess,stable
-0.04216965,-0.1,0,1
-0.04216965,-0.05,0,1
-0.04216965,0,1.23704e-06,1
-0.04216965,0.05,1.84583e-06,1
-0.04216965,0.1,1.89041e-06,1
-0.021084825,-0.1,0,1
-0.021084825,-0.05,1.47608e-06,1
-0.021084825,0,1.23939e-06,1
-0.021084825,0.05,0,1
-0.021084825,0.1,5.83101e-07,1
0,-0.1,1.73577e-06,1
0,-0.05,1.74357e-06,1
0,0,0.100765,1
0,0.05,1.74357e-06,1
0,0.1,1.73577e-06,1
0.021084825,-0.1,5.83101e-07,1
0.021084825,-0.05,0,1
0.021084825,0,1.23939e-06,1
0.021084825,0.05,1.47608e-06,1
0.021084825,0.1,0,1
0.04216965,-0.1,1.89041e-06,1
0.04216965,-0.05,1.84583e-06,1
0.04216965,0,1.23704e-06,1
0.04216965,0.05,0,1
0.04216965,0.1,0,1
