delta1,zeta3,max_excess,stable
-0.0200,-0.1,inf,0
-0.0200,-0.05,0.488383,0
-0.0200,0,9.79143,0
-0.0200,0.05,inf,0
-0.0200,0.1,inf,0
-0.0050,-0.1,4.32471e-06,1
-0.0050,-0.05,0,1
-0.0050,0,0,1
-0.0050,0.05,0,1
-0.0050,0.1,5.8715e-07,1
0.0000,-0.1,1.73577e-06,1
0.0000,-0.05,1.74357e-06,1
0.0000,0,0.100765,1
0.0000,0.05,1.74357e-06,1
0.0000,0.1,1.73577e-06,1
0.0050,-0.1,5.8715e-07,1
0.0050,-0.05,0,1
0.0050,0,0,1
0.0050,0.05,0,1
0.0050,0.1,4.32471e-06,1
0.0200,-0.1,inf,0
0.0200,-0.05,inf,0
0.0200,0,9.79143,0
0.0200,0.05,0.488383,0
0.0200,0.1,inf,0
